,B2,B4,Turn,Unit,label,er_label_1,ee_label_1,label_inter,neg,neu,pos,history,his_stem,Unit_char,Index
0,20180719-210146_172_live,0,0,Hello. How are you?,4,greeting,,non-strategy,0.0,1.0,0.0,<Start>,start,Hello. How are you?,0
2,20180719-210146_172_live,0,1,Are you involved with charities?,2,task-related-inquiry,,task-related-inquiry,0.0,0.556,0.444,"I'm good, how are you doing?",good,Are you involved with charities?,2
3,20180719-210146_172_live,0,2,That's great!,4,acknowledgement,,non-strategy,0.0,0.185,0.815,Yes! I work with children who have terminal illnesses. What charity are you involved in?,yes work children termin ill chariti involv,That's great!,3
4,20180719-210146_172_live,0,2,I help with Save The Children.,4,neutral-to-inquiry,,non-strategy,0.0,0.337,0.6629999999999999,Yes! I work with children who have terminal illnesses. What charity are you involved in?,yes work children termin ill chariti involv,I help with Save The Children.,4
5,20180719-210146_172_live,0,3,I help raise donations and volunteer time.,4,neutral-to-inquiry,,non-strategy,0.0,0.649,0.35100000000000003,Amazing! Working with kids is the best. What do you do for Save the Children?,amaz work kid best save children,I help raise donations and volunteer time.,5
6,20180719-210146_172_live,0,4,By directly asking for aid.,4,neutral-to-inquiry,,non-strategy,0.0,1.0,0.0,That's so important. How do you raise donations?,import rais donat,By directly asking for aid.,6
7,20180719-210146_172_live,0,4,Do you currently donate to your charity?,2,task-related-inquiry,,task-related-inquiry,0.0,0.682,0.318,That's so important. How do you raise donations?,import rais donat,Do you currently donate to your charity?,7
8,20180719-210146_172_live,0,5,Wonderful!,4,acknowledgement,,non-strategy,0.0,0.0,1.0,"Yes I do, but I'm happy to donate to yours as well!",yes happi donat well,Wonderful!,8
9,20180719-210146_172_live,0,5,Would you be will to donate $1.00 of your task money to help Save the Children?,4,propose-donation,,non-strategy,0.0,0.7040000000000001,0.29600000000000004,"Yes I do, but I'm happy to donate to yours as well!",yes happi donat well,Would you be will to donate $1.00 of your task money to help Save the Children?,9
10,20180719-210146_172_live,0,5,"Save The Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",0,provide-org-facts,,provide-org-facts,0.0,0.5329999999999999,0.467,"Yes I do, but I'm happy to donate to yours as well!",yes happi donat well,"Save The Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",10
11,20180719-210146_172_live,0,6,Would $2.00 be too much to ask?,4,ask-donate-more,,non-strategy,0.0,1.0,0.0,"Yes, I would be happy to!",yes would happi,Would $2.00 be too much to ask?,11
12,20180719-210146_172_live,0,7,Thank you.,4,thank,,non-strategy,0.0,0.28600000000000003,0.7140000000000001,"No, I can do it.",none,Thank you.,12
13,20180719-210146_172_live,0,7,Can we make it $1.50?,4,confirm-donation,,non-strategy,0.0,1.0,0.0,"No, I can do it.",none,Can we make it $1.50?,13
