,B2,B4,Turn,Unit,label,er_label_1,ee_label_1,label_inter,neg,neu,pos,history,his_stem,Unit_char,Index
0,20180719-210146_172_live,0,0,Hello. How are you?,4,greeting,,non-strategy,0.0,1.0,0.0,<Start>,start,Hello. How are you?,0
1,20180719-210146_172_live,0,1,Very well.,4,greeting,,non-strategy,0.0,0.295,0.705,"I'm good, how are you doing?",good,Very well.,1
2,20180719-210146_172_live,0,1,Are you involved with charities?,2,task-related-inquiry,,task-related-inquiry,0.0,0.556,0.444,"I'm good, how are you doing?",good,Are you involved with charities?,2
3,20180719-210146_172_live,0,2,That's great!,4,acknowledgement,,non-strategy,0.0,0.185,0.815,Yes! I work with children who have terminal illnesses. What charity are you involved in?,yes work children termin ill chariti involv,That's great!,3
4,20180719-210146_172_live,0,2,I help with Save The Children.,4,neutral-to-inquiry,,non-strategy,0.0,0.337,0.6629999999999999,Yes! I work with children who have terminal illnesses. What charity are you involved in?,yes work children termin ill chariti involv,I help with Save The Children.,4
5,20180719-210146_172_live,0,3,I help raise donations and volunteer time.,4,neutral-to-inquiry,,non-strategy,0.0,0.649,0.35100000000000003,Amazing! Working with kids is the best. What do you do for Save the Children?,amaz work kid best save children,I help raise donations and volunteer time.,5
7,20180719-210146_172_live,0,4,Do you currently donate to your charity?,2,task-related-inquiry,,task-related-inquiry,0.0,0.682,0.318,That's so important. How do you raise donations?,import rais donat,Do you currently donate to your charity?,7
9,20180719-210146_172_live,0,5,Would you be will to donate $1.00 of your task money to help Save the Children?,4,propose-donation,,non-strategy,0.0,0.7040000000000001,0.29600000000000004,"Yes I do, but I'm happy to donate to yours as well!",yes happi donat well,Would you be will to donate $1.00 of your task money to help Save the Children?,9
10,20180719-210146_172_live,0,5,"Save The Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",0,provide-org-facts,,provide-org-facts,0.0,0.5329999999999999,0.467,"Yes I do, but I'm happy to donate to yours as well!",yes happi donat well,"Save The Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",10
12,20180719-210146_172_live,0,7,Thank you.,4,thank,,non-strategy,0.0,0.28600000000000003,0.7140000000000001,"No, I can do it.",none,Thank you.,12
14,20180719-210146_172_live,0,7,These children really need the assistance.,6,logical-appeal,,logical-appeal,0.0,1.0,0.0,"No, I can do it.",none,These children really need the assistance.,14
15,20180719-210146_172_live,0,8,Why not $1.75 then? :-),4,ask-donate-more,,non-strategy,0.32899999999999996,0.6709999999999999,0.0,$1.50 sounds good then.,   sound good,Why not $1.75 then? :-),15
16,20180719-210146_172_live,0,9,Thank you so much!,4,thank,,non-strategy,0.0,0.518,0.48200000000000004,I can do $2.00! Happy to help.,   happi help,Thank you so much!,16
17,20180719-210146_172_live,0,9,Do you have any more questions for me?,2,task-related-inquiry,,task-related-inquiry,0.0,1.0,0.0,I can do $2.00! Happy to help.,   happi help,Do you have any more questions for me?,17
19,20180723-042344_940_live,0,1,About 1 dollar per day.,4,neutral-to-inquiry,,non-strategy,0.0,1.0,0.0,"I spend about 5 dollars a day, you?",spend    dollar day,About 1 dollar per day.,19
21,20180723-042344_940_live,0,2,I agree.,4,acknowledgement,,non-strategy,0.0,0.0,1.0,I think it would in many places,think would mani place,I agree.,21
22,20180723-042344_940_live,0,2,Are you familiar with a charity called Save the Children?,5,have-you-heard-of-the-org,,have-you-heard-of-the-org,0.0,0.5379999999999999,0.462,I think it would in many places,think would mani place,Are you familiar with a charity called Save the Children?,22
23,20180723-042344_940_live,0,3,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",0,provide-org-facts,,provide-org-facts,0.0,0.5329999999999999,0.467,No i am not can you explain?,explain,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",23
24,20180723-042344_940_live,0,4,"We can help by making a donation which is essential to help ensuring children's rights to health, education, safety, etc.",3,provide-donation-procedure,,provide-donation-procedure,0.0,0.593,0.40700000000000003,Wow thats great. How can I help?,wow great help,"We can help by making a donation which is essential to help ensuring children's rights to health, education, safety, etc.",24
25,20180723-042344_940_live,0,5,You can donate by choosing an amount of your task payment from $0 to all.,3,provide-donation-procedure,,provide-donation-procedure,0.0,1.0,0.0,Thank you. How do i donate?,thank donat,You can donate by choosing an amount of your task payment from $0 to all.,25
26,20180723-042344_940_live,0,6,That's great!,4,acknowledgement,,non-strategy,0.0,0.185,0.815,Ok i will donate some,ok donat,That's great!,26
28,20180723-042344_940_live,0,7,You are welcome.,4,you-are-welcome,,non-strategy,0.0,0.4,0.6,Tha k you so much for the infkrmation,tha k much infkrmat,You are welcome.,28
29,20180723-042344_940_live,0,8,Any chance you would consider making a greater donation?,4,ask-donate-more,,non-strategy,0.0,0.5710000000000001,0.429,I will donate 10 cents,donat    cent,Any chance you would consider making a greater donation?,29
30,20180723-042344_940_live,0,9,It is automatically deducted from your task payment. It will be collected by the research team and sent to Save the Children.,3,provide-donation-procedure,,provide-donation-procedure,0.0,0.868,0.132,That is all i can afford,afford,It is automatically deducted from your task payment. It will be collected by the research team and sent to Save the Children.,30
31,20180723-042344_940_live,0,9,Thank you for your contribution!,4,thank,,non-strategy,0.0,0.589,0.41100000000000003,That is all i can afford,afford,Thank you for your contribution!,31
32,20180723-042421_113_live,0,0,This site Helps many child,0,provide-org-facts,,provide-org-facts,0.0,0.606,0.39399999999999996,<Start>,start,This site Helps many child,32
33,20180723-042421_113_live,0,1,Their motto is to help children's future...that every child deserves a future,0,provide-org-facts,,provide-org-facts,0.0,0.787,0.213,What kind of children does it help?,kind children help,Their motto is to help children's future...that every child deserves a future,33
34,20180723-042421_113_live,0,2,Save the Children,0,provide-org-facts,,provide-org-facts,0.0,0.385,0.615,What is the name of the organization?,name organ,Save the Children,34
35,20180723-042421_113_live,0,3,They help in the children's basic need like food and clothing. They help in whatever it takes for children to transforming their lives and the future,0,provide-org-facts,,provide-org-facts,0.0,0.7440000000000001,0.256,How do they help children? Food? Clothing? Shelter? Education?,help children food cloth shelter educ,They help in the children's basic need like food and clothing. They help in whatever it takes for children to transforming their lives and the future,35
36,20180723-042421_113_live,0,4,This charity is from Fairfield Town in Connecticut,0,provide-org-facts,,provide-org-facts,0.0,0.7140000000000001,0.28600000000000003,Is this charity local? global? Just in my country (United States)?,chariti local global countri unit state,This charity is from Fairfield Town in Connecticut,36
37,20180723-042421_113_live,0,5,Ya.. It's very important.,4,positive-to-inquiry,,non-strategy,0.0,0.589,0.41100000000000003,"I think  it's important to support initiatives to help children get a good education, and have the things they need to go to school and learn. How much should we donate?",think    import support initi help children get good educ thing need go school learn much donat,Ya.. It's very important.,37
38,20180723-042421_113_live,0,5,"There are many way to donate money like one time gift, Monthly donor, and sponsorship for some children.",4,neutral-to-inquiry,,non-strategy,0.0,0.748,0.252,"I think  it's important to support initiatives to help children get a good education, and have the things they need to go to school and learn. How much should we donate?",think    import support initi help children get good educ thing need go school learn much donat,"There are many way to donate money like one time gift, Monthly donor, and sponsorship for some children.",38
39,20180723-042421_113_live,0,6,"Child sponsorship works like a way of giving and that connects one compassionate person like you with one child in need. Sponsoring a child gives the chance to grow up healthy, educated and safe ??Â¸??Â¸ forever changing the course of their life and future.",6,logical-appeal,,logical-appeal,0.0,0.6459999999999999,0.354,"Sponsorship of a child might be interesting....I'd like to know what my donation is being used for, and that it's actually helping someone.",sponsorship child might interestingid like know donat use actual help someon,"Child sponsorship works like a way of giving and that connects one compassionate person like you with one child in need. Sponsoring a child gives the chance to grow up healthy, educated and safe ??Â¸??Â¸ forever changing the course of their life and future.",39
40,20180723-042421_113_live,0,6,"You can select a child according to your choice by age, gender",3,provide-donation-procedure,,provide-donation-procedure,0.0,1.0,0.0,"Sponsorship of a child might be interesting....I'd like to know what my donation is being used for, and that it's actually helping someone.",sponsorship child might interestingid like know donat use actual help someon,"You can select a child according to your choice by age, gender",40
42,20180723-042421_113_live,0,8,You can Sponsor a child for just $36 a month,3,provide-donation-procedure,,provide-donation-procedure,0.0,1.0,0.0,How does the sponsorship work? Do I make a monthly donation? I can't afford much. What is the minimum dollar amount?,sponsorship work make month donat ca nt afford much minimum dollar amount,You can Sponsor a child for just $36 a month,42
44,20180723-080248_452_live,0,0,Hello! Ho are you doing today?,4,greeting,,non-strategy,0.0,1.0,0.0,<Start>,start,Hello! Ho are you doing today?,44
45,20180723-080248_452_live,0,1,I'm doing great but i would feel so much better if you let me tell you about one amazing charity,0,provide-org-facts,,provide-org-facts,0.0,0.488,0.512,"doing fine, what about you",fine,I'm doing great but i would feel so much better if you let me tell you about one amazing charity,45
46,20180723-080248_452_live,0,2,Have you heard about it?,5,have-you-heard-of-the-org,,have-you-heard-of-the-org,0.0,1.0,0.0,go ahead :) i'm listening,go ahead    listen,Have you heard about it?,46
49,20180723-080248_452_live,0,4,"There was this little boy in Africa, he was only 1 year old and he died of hunger. It breaks my heart",9,emotion-appeal,,emotion-appeal,0.228,0.772,0.0,such an important job! Tell me more,import job tell,"There was this little boy in Africa, he was only 1 year old and he died of hunger. It breaks my heart",49
50,20180723-080248_452_live,0,5,i'm glad you asked!,4,acknowledgement,,non-strategy,0.0,0.47700000000000004,0.523,so sad. How can i help?,sad help,i'm glad you asked!,50
51,20180723-080248_452_live,0,5,you can help save children like that boy by donating to Save the Children,4,propose-donation,,non-strategy,0.0,0.46299999999999997,0.537,so sad. How can i help?,sad help,you can help save children like that boy by donating to Save the Children,51
