,B2,B4,Turn,Unit,label,er_label_1,ee_label_1,label_inter,neg,neu,pos,history,his_stem,Unit_char,Index
0,20180719-210146_172_live,0,0,Hello. How are you?,4,greeting,,non-strategy,0.0,1.0,0.0,<Start>,start,Hello. How are you?,0
1,20180719-210146_172_live,0,1,Very well.,4,greeting,,non-strategy,0.0,0.295,0.705,"I'm good, how are you doing?",good,Very well.,1
2,20180719-210146_172_live,0,1,Are you involved with charities?,2,task-related-inquiry,,task-related-inquiry,0.0,0.556,0.444,"I'm good, how are you doing?",good,Are you involved with charities?,2
3,20180719-210146_172_live,0,2,That's great!,4,acknowledgement,,non-strategy,0.0,0.185,0.815,Yes! I work with children who have terminal illnesses. What charity are you involved in?,yes work children termin ill chariti involv,That's great!,3
4,20180719-210146_172_live,0,2,I help with Save The Children.,4,neutral-to-inquiry,,non-strategy,0.0,0.337,0.6629999999999999,Yes! I work with children who have terminal illnesses. What charity are you involved in?,yes work children termin ill chariti involv,I help with Save The Children.,4
5,20180719-210146_172_live,0,3,I help raise donations and volunteer time.,4,neutral-to-inquiry,,non-strategy,0.0,0.649,0.35100000000000003,Amazing! Working with kids is the best. What do you do for Save the Children?,amaz work kid best save children,I help raise donations and volunteer time.,5
6,20180719-210146_172_live,0,4,By directly asking for aid.,4,neutral-to-inquiry,,non-strategy,0.0,1.0,0.0,That's so important. How do you raise donations?,import rais donat,By directly asking for aid.,6
7,20180719-210146_172_live,0,4,Do you currently donate to your charity?,2,task-related-inquiry,,task-related-inquiry,0.0,0.682,0.318,That's so important. How do you raise donations?,import rais donat,Do you currently donate to your charity?,7
8,20180719-210146_172_live,0,5,Wonderful!,4,acknowledgement,,non-strategy,0.0,0.0,1.0,"Yes I do, but I'm happy to donate to yours as well!",yes happi donat well,Wonderful!,8
9,20180719-210146_172_live,0,5,Would you be will to donate $1.00 of your task money to help Save the Children?,4,propose-donation,,non-strategy,0.0,0.7040000000000001,0.29600000000000004,"Yes I do, but I'm happy to donate to yours as well!",yes happi donat well,Would you be will to donate $1.00 of your task money to help Save the Children?,9
10,20180719-210146_172_live,0,5,"Save The Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",0,provide-org-facts,,provide-org-facts,0.0,0.5329999999999999,0.467,"Yes I do, but I'm happy to donate to yours as well!",yes happi donat well,"Save The Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",10
11,20180719-210146_172_live,0,6,Would $2.00 be too much to ask?,4,ask-donate-more,,non-strategy,0.0,1.0,0.0,"Yes, I would be happy to!",yes would happi,Would $2.00 be too much to ask?,11
12,20180719-210146_172_live,0,7,Thank you.,4,thank,,non-strategy,0.0,0.28600000000000003,0.7140000000000001,"No, I can do it.",none,Thank you.,12
13,20180719-210146_172_live,0,7,Can we make it $1.50?,4,confirm-donation,,non-strategy,0.0,1.0,0.0,"No, I can do it.",none,Can we make it $1.50?,13
14,20180719-210146_172_live,0,7,These children really need the assistance.,6,logical-appeal,,logical-appeal,0.0,1.0,0.0,"No, I can do it.",none,These children really need the assistance.,14
15,20180719-210146_172_live,0,8,Why not $1.75 then? :-),4,ask-donate-more,,non-strategy,0.32899999999999996,0.6709999999999999,0.0,$1.50 sounds good then.,   sound good,Why not $1.75 then? :-),15
17,20180719-210146_172_live,0,9,Do you have any more questions for me?,2,task-related-inquiry,,task-related-inquiry,0.0,1.0,0.0,I can do $2.00! Happy to help.,   happi help,Do you have any more questions for me?,17
18,20180723-042344_940_live,0,0,How much money do you spend daily on extras like a coffee or treat?,8,personal-related-inquiry,,personal-related-inquiry,0.0,0.679,0.321,<Start>,start,How much money do you spend daily on extras like a coffee or treat?,18
20,20180723-042344_940_live,0,1,Do you think that amount of money would make a difference in a needy child's life?,2,task-related-inquiry,,task-related-inquiry,0.156,0.8440000000000001,0.0,"I spend about 5 dollars a day, you?",spend    dollar day,Do you think that amount of money would make a difference in a needy child's life?,20
21,20180723-042344_940_live,0,2,I agree.,4,acknowledgement,,non-strategy,0.0,0.0,1.0,I think it would in many places,think would mani place,I agree.,21
22,20180723-042344_940_live,0,2,Are you familiar with a charity called Save the Children?,5,have-you-heard-of-the-org,,have-you-heard-of-the-org,0.0,0.5379999999999999,0.462,I think it would in many places,think would mani place,Are you familiar with a charity called Save the Children?,22
23,20180723-042344_940_live,0,3,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",0,provide-org-facts,,provide-org-facts,0.0,0.5329999999999999,0.467,No i am not can you explain?,explain,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",23
24,20180723-042344_940_live,0,4,"We can help by making a donation which is essential to help ensuring children's rights to health, education, safety, etc.",3,provide-donation-procedure,,provide-donation-procedure,0.0,0.593,0.40700000000000003,Wow thats great. How can I help?,wow great help,"We can help by making a donation which is essential to help ensuring children's rights to health, education, safety, etc.",24
25,20180723-042344_940_live,0,5,You can donate by choosing an amount of your task payment from $0 to all.,3,provide-donation-procedure,,provide-donation-procedure,0.0,1.0,0.0,Thank you. How do i donate?,thank donat,You can donate by choosing an amount of your task payment from $0 to all.,25
26,20180723-042344_940_live,0,6,That's great!,4,acknowledgement,,non-strategy,0.0,0.185,0.815,Ok i will donate some,ok donat,That's great!,26
27,20180723-042344_940_live,0,6,The monies will go to a worthy cause. Every little bit helps.,7,foot-in-the-door,,foot-in-the-door,0.0,0.633,0.36700000000000005,Ok i will donate some,ok donat,The monies will go to a worthy cause. Every little bit helps.,27
28,20180723-042344_940_live,0,7,You are welcome.,4,you-are-welcome,,non-strategy,0.0,0.4,0.6,Tha k you so much for the infkrmation,tha k much infkrmat,You are welcome.,28
29,20180723-042344_940_live,0,8,Any chance you would consider making a greater donation?,4,ask-donate-more,,non-strategy,0.0,0.5710000000000001,0.429,I will donate 10 cents,donat    cent,Any chance you would consider making a greater donation?,29
30,20180723-042344_940_live,0,9,It is automatically deducted from your task payment. It will be collected by the research team and sent to Save the Children.,3,provide-donation-procedure,,provide-donation-procedure,0.0,0.868,0.132,That is all i can afford,afford,It is automatically deducted from your task payment. It will be collected by the research team and sent to Save the Children.,30
31,20180723-042344_940_live,0,9,Thank you for your contribution!,4,thank,,non-strategy,0.0,0.589,0.41100000000000003,That is all i can afford,afford,Thank you for your contribution!,31
33,20180723-042421_113_live,0,1,Their motto is to help children's future...that every child deserves a future,0,provide-org-facts,,provide-org-facts,0.0,0.787,0.213,What kind of children does it help?,kind children help,Their motto is to help children's future...that every child deserves a future,33
34,20180723-042421_113_live,0,2,Save the Children,0,provide-org-facts,,provide-org-facts,0.0,0.385,0.615,What is the name of the organization?,name organ,Save the Children,34
36,20180723-042421_113_live,0,4,This charity is from Fairfield Town in Connecticut,0,provide-org-facts,,provide-org-facts,0.0,0.7140000000000001,0.28600000000000003,Is this charity local? global? Just in my country (United States)?,chariti local global countri unit state,This charity is from Fairfield Town in Connecticut,36
37,20180723-042421_113_live,0,5,Ya.. It's very important.,4,positive-to-inquiry,,non-strategy,0.0,0.589,0.41100000000000003,"I think  it's important to support initiatives to help children get a good education, and have the things they need to go to school and learn. How much should we donate?",think    import support initi help children get good educ thing need go school learn much donat,Ya.. It's very important.,37
39,20180723-042421_113_live,0,6,"Child sponsorship works like a way of giving and that connects one compassionate person like you with one child in need. Sponsoring a child gives the chance to grow up healthy, educated and safe ??Â¸??Â¸ forever changing the course of their life and future.",6,logical-appeal,,logical-appeal,0.0,0.6459999999999999,0.354,"Sponsorship of a child might be interesting....I'd like to know what my donation is being used for, and that it's actually helping someone.",sponsorship child might interestingid like know donat use actual help someon,"Child sponsorship works like a way of giving and that connects one compassionate person like you with one child in need. Sponsoring a child gives the chance to grow up healthy, educated and safe ??Â¸??Â¸ forever changing the course of their life and future.",39
40,20180723-042421_113_live,0,6,"You can select a child according to your choice by age, gender",3,provide-donation-procedure,,provide-donation-procedure,0.0,1.0,0.0,"Sponsorship of a child might be interesting....I'd like to know what my donation is being used for, and that it's actually helping someone.",sponsorship child might interestingid like know donat use actual help someon,"You can select a child according to your choice by age, gender",40
41,20180723-042421_113_live,0,7,Ya... Definitely they will update you every information about the child you are donating,4,positive-to-inquiry,,non-strategy,0.0,0.828,0.172,That is appealing. Does the charity send updates on how the child is doing if I sponsor?,appeal chariti send updat child sponsor,Ya... Definitely they will update you every information about the child you are donating,41
42,20180723-042421_113_live,0,8,You can Sponsor a child for just $36 a month,3,provide-donation-procedure,,provide-donation-procedure,0.0,1.0,0.0,How does the sponsorship work? Do I make a monthly donation? I can't afford much. What is the minimum dollar amount?,sponsorship work make month donat ca nt afford much minimum dollar amount,You can Sponsor a child for just $36 a month,42
43,20180723-042421_113_live,0,9,Ya.. It will definitely work and save the children's future..,6,logical-appeal,,logical-appeal,0.0,0.5760000000000001,0.424,"Let's say for this experiment, we will contribute the $36 a month for six months, and see how it goes. We can renew for another six months it it looks like the donation is working. What do you think?",let say experi contribut    month six month see goe renew anoth six month look like donat work think,Ya.. It will definitely work and save the children's future..,43
44,20180723-080248_452_live,0,0,Hello! Ho are you doing today?,4,greeting,,non-strategy,0.0,1.0,0.0,<Start>,start,Hello! Ho are you doing today?,44
45,20180723-080248_452_live,0,1,I'm doing great but i would feel so much better if you let me tell you about one amazing charity,0,provide-org-facts,,provide-org-facts,0.0,0.488,0.512,"doing fine, what about you",fine,I'm doing great but i would feel so much better if you let me tell you about one amazing charity,45
